"pmcid","figure","word","symbol","source","hgnc_symbol","entrez","transforms_applied"
"PMC5573639","PMC5573639__nihms893697f2.jpg","JAK","JAK","bioentities_symbol","JAK1","3716","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","JAK","JAK","bioentities_symbol","JAK2","3717","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","JAK","JAK","bioentities_symbol","JAK3","3718","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","JAK","JAK","bioentities_symbol","TYK2","7297","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","SOCS","SOCS","hgnc_alias_symbol","CISH","1154","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","STAT","STAT","bioentities_symbol","STAT1","6772","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","STAT","STAT","bioentities_symbol","STAT2","6773","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","STAT","STAT","bioentities_symbol","STAT3","6774","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","STAT","STAT","bioentities_symbol","STAT4","6775","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","STAT","STAT","bioentities_symbol","STAT5A","6776","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","STAT","STAT","bioentities_symbol","STAT5B","6777","-n stop"
"PMC5573639","PMC5573639__nihms893697f2.jpg","STAT","STAT","bioentities_symbol","STAT6","6778","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","ac-1","AC1","hgnc_alias_symbol","ADCY1","107","-n stop -n nfkc -n deburr -m expand -m root -n swaps -n alphanumeric"
"PMC5582648","PMC5582648__gr8.jpg","IL-8","IL-8","hgnc_alias_symbol","CXCL8","3576","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PAR","PAR","hgnc_alias_symbol","JTB","10899","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKD3","23683","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKCA","5578","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKCB","5579","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKCD","5580","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKCE","5581","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKCG","5582","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKCH","5583","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKCI","5584","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKCQ","5588","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKC","PKC","bioentities_symbol","PRKCZ","5590","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","PKR","PKR","hgnc_alias_symbol","EIF2AK2","5610","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","Rac","RAC","bioentities_symbol","RHOG","391","-n stop"
"PMC5582648","PMC5582648__gr8.jpg","Rac","RAC","bioentities_symbol","RAC1","5879","-n stop"
